Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company
"DELL Wyse 5470 Intel Celeron Quad Core Processor Base Frequency 1.10 GHz, Burst Frequency 2.40 GHz - (...","49,990","21,990",56% off,4.3,10 Ratings & 1 Reviews,DELL
HP 15 G9 (2025) AMD Ryzen 3 Dual Core 3250U - (16 GB/512 GB SSD/Windows 11 Pro) 15 G9 Thin and Light L...,"52,990","28,070",47% off,4.3,11 Ratings & 0 Reviews,HP
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"34,990","15,990",54% off,3.7,"1,346 Ratings & 160 Reviews",CHUWI
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,"50,990","36,990",27% off,4.2,"2,162 Ratings & 143 Reviews",ASUS
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"29,999","21,490",28% off,4.0,933 Ratings & 89 Reviews,Acer
MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO Busines...,"47,990","30,990",35% off,4.3,109 Ratings & 14 Reviews,MSI
ASUS Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK321WS Th...,"50,990","29,990",41% off,4.3,"1,448 Ratings & 140 Reviews",ASUS
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,"1,11,990","87,990",21% off,4.5,94 Ratings & 6 Reviews,ASUS
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light L...,"68,000","46,990",30% off,4.3,485 Ratings & 30 Reviews,Acer
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"59,990","34,990",41% off,4.0,873 Ratings & 76 Reviews,Acer
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,"24,990","12,990",48% off,4.2,"3,004 Ratings & 889 Reviews",Primebook
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"85,999","57,990",32% off,4.4,471 Ratings & 47 Reviews,Acer
SAMSUNG Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"89,689","69,490",22% off,4.4,"1,837 Ratings & 121 Reviews",SAMSUNG
HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,"52,721","36,390",30% off,4.2,"7,083 Ratings & 416 Reviews",HP
ASUS X1504ZA Intel Core i3 12th Gen 12th Gen Intel Core i3-1215U - (8 GB/512 GB SSD/Windows 11 Home) X...,"54,990","32,599",40% off,4.3,775 Ratings & 82 Reviews,ASUS
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and...,"54,990","36,990",32% off,4.1,"1,457 Ratings & 189 Reviews",Acer
Lenovo V14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Light Lapto...,"47,990","37,490",21% off,4.1,741 Ratings & 54 Reviews,Lenovo
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,"51,266","30,990",39% off,4.2,"7,083 Ratings & 416 Reviews",HP
"HP 255 G10 AMD Ryzen 3 Octa Core 13th Gen AMD Ryzen™ 3 7320U (up to 4.1 GHz, 4 cores, 8 threads) - (8 ...","41,999","26,990",35% off,4.0,33 Ratings & 4 Reviews,HP
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK521...,"74,990","44,990",40% off,4.4,"2,476 Ratings & 199 Reviews",ASUS
Lenovo V 14 (2025) Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Lig...,"92,990","41,490",55% off,4.6,25 Ratings & 3 Reviews,Lenovo
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321...,"61,990","36,990",40% off,4.4,"3,472 Ratings & 374 Reviews",ASUS
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Thin and...,"72,190","43,990",39% off,4.0,401 Ratings & 23 Reviews,Lenovo
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"1,05,090","72,990",30% off,4.3,547 Ratings & 42 Reviews,Lenovo
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) 14IAH8 Thin and...,"78,590","62,190",20% off,4.2,370 Ratings & 30 Reviews,Lenovo
ASUS Vivobook 14 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1404VA-NK322WS Thin...,"57,990","36,990",36% off,3.9,494 Ratings & 34 Reviews,ASUS
HP Laptop Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and Light...,"46,709","31,990",31% off,4.2,"7,083 Ratings & 416 Reviews",HP
ASUS Vivobook GO 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ549WS T...,"58,990","41,612",29% off,4.2,73 Ratings & 4 Reviews,ASUS
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"1,20,000","86,490",27% off,4.5,847 Ratings & 63 Reviews,Lenovo
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,"66,990","46,490",30% off,4.2,"7,481 Ratings & 419 Reviews",ASUS
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5541WS ...,"55,990","41,990",25% off,4.2,"2,162 Ratings & 143 Reviews",ASUS
Infinix Y3 Max Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,"69,990","29,990",57% off,4.2,283 Ratings & 52 Reviews,Infinix
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"75,990","58,990",22% off,4.3,803 Ratings & 49 Reviews,ASUS
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS Th...,"50,990","37,990",25% off,,,ASUS
